productId,productName,retailPrice,wholesalePrice,discontinued,numInBottle
61,Z- Custom Health Pak - 31pk [7 capsules],$83.00,$58.10,,
62,Z- Custom Health Pak - 31pk [8 capsules],$88.00,$61.60,,
63,Z- Custom Health Pak - 60 pk [5 capsules],$101.00,$70.70,,
64,Z- Custom Health Pak - 60 pk [6 capsules],$111.00,$77.70,,
65,Z- Custom Health Pak - 60 pk [7 capsules],$122.00,$85.40,,
66,Z- Custom Health Pak - 60 pk [8 capsules],$133.00,$93.10,,
67,Z- Custom Health Pak - 90 pk [5 capsules],$165.00,$115.50,,
68,Z- Custom Health Pak - 90 pk [6 capsules],$190.00,$133.00,,
69,Z- Custom Health Pak - 90 pk [7 capsules],$215.00,$150.50,,
70,Z- Custom Health Pak - 90 pk [8 capsules],$245.00,$171.50,,
71,"Allergy Pak (1 Acute, 2 EFA, 2 Opti-Mito-Force, 1 Flora Plus)",$78.00,$42.90,,
72,"Big C Nutrient Pak #1 (4 EFA (2 per packet), 4 Fat/Sugar Trim (2 per packet), 4 Phytonutrients (2 per packet), 4 DAK1K2 (2 per packet))",$98.00,$53.90,,
73,"Big C Nutrient Pak #2 (4 Magnesium, 4 Resveratrol, 4 Shrooms, 4 Para)",$98.00,$53.90,,
74,"Big C Nutrient Pak #3 (4 Adrenal (2 per packet), 4 Nag Redux (2 per packet), 4 Phytonutrients (2 per packet), 2 Ubiquinol (1 per packet))",$98.00,$53.90,,
75,"Brain Tap Pak (1 Whole Food Vitamin Mineral, 2 EFA, 1 Brain Nutrients, 1 Mito-Force, 1 Phytonutrients, 1 DAK1-K2, 1 High CFU Probiotic)",$82.00,$45.10,,
76,"Exposure Protection Pak (2 Vitamin-Mineral, 1 High CFU Probiotic, 1 Phytonutrients, 1 Zinc, 1 Crea-Nitric, 1 Vitamin D3)",$80.00,$44.00,,
77,Flora Blitz 100,$78.00,$42.90,,
78,"Female Balance Pak (1 Cort Adrena, 1 EFA, 1 Opti-T, 1 Essential Control, 1 NADH+DIM,1 Opti-Female,1 High CFU Probiotic)",$78.00,$42.90,,
79,"Male Balance Pak (1 Longevi-D-K2, 1 EFA, 2 Opti-T, 1 NADH+DIM, 1 Zinc, 1 Crea-Nitric)",$78.00,$42.90,,
80,"Natural NSAID Pak (2 Protease Anti-Inflam, 1 Joint Nutrients, 1 EFA, 3 Phytonutrients)",$78.00,$42.90,,
81,"Natural Z Pak ( 1 Opti-Adrenal, 1 Opti Methyl B, 1 Opti-Mito-Force, 1 Opti-Immune VRL, 1 Opti-GI, 1 Probiotic, 1 Essential DAK1K2)",$82.00,$45.10,,
82,"NOS Performance Paks (3 Arginine N.O., 1 High Potency Vitamin D3, 2 Crea-Nitric, 1 Methyl-B)",$82.00,$45.10,,
83,"Opti-Pak (1 DAK1K2, 2 Whole Food Vitamin Mineral, 1 Digestion, 1 EFA, 1 Flora)",$78.00,$42.90,,
84,"Optimal Health Pak (2 Arginine N.O (1 per packet), 2 Digestion (1 per packet), 2 Longevi-D K2 (1 per packet), 2 EFA (1 per packet), 4 Vitamin-Mineral (2 per packet), 2 High CFU Probiotic (1 per packet))",$113.00,$62.15,,
85,"Peptide Support Pak (1 Arginine N.O. 1 Methyl-B, 1 Mito-Force, 2 EFA, 1 Muscle Rx, 1 Vitamin-Mineral, 1 Resveratrol, 1 High CFU Probiotic, 1 Phytonutrients, 1 DAK1K2, 1 P-5-P, 1 NADH, 1 Zinc)",$100.00,$55.00,,
86,"Pre-Conditioning Pak (2 Longevi-D-K2, 1 Magnesium, 1 Opti-Iodine, 1 Opti-Adrenal, 1 Opti-Mito-Force)",$78.00,$42.90,,
87,"Soft Cleanse Pak (2 Otpi-GI, 1 Liver & Kidney, 2 FloraPlus)",$99.00,$54.45,,
88,"Stress/Anxiety Relief Pak (1 Muscle Rx, 1 Cort-Adrena, 1 Hormonal Blend +B, 1 Magnesium, 2 Calm Nutrients, 1 High CFU Probiotic)",$82.00,$45.10,,
89,"Tru-Energy Pak (4 Muscle Rx, 2 Cort-Adrena, 2 DAK1K2, 4 B Awake)",$108.00,$59.40,,
90,Optimal Half Day Organ Cleanse Kit,$66.00,$36.30,,
91,Optimal Complete Nutrition Plus,$90.00,$49.50,,
92,Optimal Complete Performance (Chocolate),$90.00,$49.50,,
93,Optimal Complete Performance (Vanilla),$90.00,$49.50,,
94,Optimal Fruit & Veggie Plus,$90.00,$49.50,,
95,Optimal LeanClean Protein + Collagen - Chocolate Lava Cake,$90.00,$49.50,,
